,Real_GDP US,GBP/USD,UKGDP,ALLUKSHARES
2000-01-01,9.538070723707763,0.4734352345474315,26.717830573497174,4.575886820809546
2000-04-01,9.556119734052743,0.4265740713183996,26.72516574577592,4.563467078813337
2000-07-01,9.55713854075646,0.3902160973454254,26.731575209993167,4.584498794014824
2000-10-01,9.56309117654135,0.3689394267587144,26.737985378400825,4.558576414135828
2001-01-01,9.559807804092207,0.3771342183401025,26.746844171965655,4.512124053489418
2001-04-01,9.566033414006979,0.35150158516473495,26.75125033805411,4.476656650334884
2001-07-01,9.562018974965161,0.3627663535750491,26.756555874903743,4.379981391590739
2001-10-01,9.564762961267519,0.36644704108743525,26.759811296495023,4.360037267905046
2002-01-01,9.573091766836415,0.3549434457605842,26.76241040843709,4.365759963457831
2002-04-01,9.579200138529885,0.3794633055691636,26.76729199878355,4.338029483703953
2002-07-01,9.583257012577263,0.4380613638111523,26.77400114864311,4.142535655587907
2002-10-01,9.584492299821237,0.45196694175958413,26.781746302657123,4.106796510697261
2003-01-01,9.589744900587087,0.47156490981268806,26.788984059878533,4.024996134110203
2003-04-01,9.598562131039955,0.48137621554070276,26.79823708516909,4.1027991347189605
2003-07-01,9.615057333625899,0.47666886711449646,26.807104439479257,4.145682419409004
2003-10-01,9.626597700673301,0.5352645456430088,26.814964783600164,4.188048585780161
2004-01-01,9.632248220912203,0.6089500217591897,26.818759263478114,4.212608861802843
2004-04-01,9.639967870831144,0.5912805541563748,26.82457756953932,4.218903711421009
2004-07-01,9.649409100716316,0.5984518117206208,26.828440692962417,4.208864832366127
2004-10-01,9.659559492037449,0.6252430019460725,26.833543999591967,4.2692982178319046
2005-01-01,9.670592042566685,0.6371586703510902,26.840887150847752,4.313778022208399
2005-04-01,9.675506192875309,0.6184236343640089,26.84916730406521,4.319209245350988
2005-07-01,9.68331377457644,0.5792503338798326,26.856956678721904,4.388357022187001
2005-10-01,9.688853566948517,0.5588154677646535,26.866272664965084,4.411611632839036
2006-01-01,9.70221770539623,0.5614426895625171,26.87139219406777,4.479759586494226
2006-04-01,9.704801891145129,0.6035506467481891,26.87526421955618,4.486541871263928
2006-07-01,9.70630032718521,0.6286619913335358,26.877949818141527,4.488605046994131
2006-10-01,9.714858102750625,0.6505527829275248,26.883147385677994,4.5349323580160945
2007-01-01,9.717861943367756,0.6702878864138627,26.892506207975497,4.5544240172810975
2007-04-01,9.723960926282437,0.6862232654871211,26.899785700719402,4.595809434650805
2007-07-01,9.729704657391745,0.7037408687708152,26.90647407942725,4.569237625082304
2007-10-01,9.73596737290394,0.7150065149128388,26.912377649919698,4.583493107776418
2008-01-01,9.731690597313907,0.6825916666204287,26.91722827281804,4.489247179235818
2008-04-01,9.737627223245223,0.6786424943570636,26.91232225388419,4.508189339348854
2008-07-01,9.73236079944244,0.637845864774856,26.896785238619803,4.397511370937434
2008-10-01,9.710227386702954,0.4513303639801143,26.875347255786636,4.167534668376861
2009-01-01,9.698813755343052,0.360746643308786,26.85472056125157,4.115396325197832
2009-04-01,9.697025648125424,0.438383954865274,26.85144202681834,4.167778139763326
2009-07-01,9.700531419672563,0.4953058121079539,26.85204367876341,4.271443694946032
2009-10-01,9.711282555051808,0.49072495205898775,26.855009583933168,4.375279042353293
2010-01-01,9.716115865272487,0.4430819716794712,26.86431996357449,4.409271868695659
2010-04-01,9.725745215095095,0.4008544955504812,26.87515988221002,4.399056104961417
2010-07-01,9.733426487800099,0.4396088526750018,26.880666343848866,4.389673331941952
2010-10-01,9.73866385144455,0.45767797955509865,26.881540592828404,4.471106286984577
2011-01-01,9.7362889847085,0.47168970701739266,26.884091229175628,4.502059462474169
2011-04-01,9.743032022177166,0.48913200968073506,26.885242904505205,4.496548970784019
2011-07-01,9.742808869921381,0.4763583948837434,26.88829075684639,4.4177713350419925
2011-10-01,9.753976766732846,0.4522214594499376,26.889689487715877,4.411086430154566
2012-01-01,9.762327708551636,0.4524123052153312,26.89836774146957,4.480054629966581
2012-04-01,9.766781124817959,0.45919543052913214,26.897008189891288,4.432971487336175
2012-07-01,9.76822036858282,0.4574881361753163,26.906546309680824,4.467392916597219
2012-10-01,9.769376105998571,0.47405789957377614,26.905431318929164,4.485049116484479
2013-01-01,9.779193365264087,0.438770926814637,26.908257671476168,4.559502710646565
2013-04-01,9.781866153529224,0.42937692815447726,26.915485166890193,4.580637813303558
2013-07-01,9.790344050081721,0.43902882494630496,26.923779067776003,4.5953149256552335
2013-10-01,9.799023690319984,0.4821174596292469,26.930780838731334,4.608494429112419
2014-01-01,9.795566762170324,0.5038614299643578,26.938977326408757,4.618061495604956
2014-04-01,9.808402452399474,0.5206967435612537,26.94770346684661,4.630268465822304
2014-07-01,9.820483100725255,0.5122845590022348,26.95520488312905,4.629172100756606
2014-10-01,9.825527686740688,0.45976388151554326,26.962242593052224,4.595869126624929
2015-01-01,9.834492234617613,0.4143587752782842,26.965197231017495,4.634630166754625
2015-04-01,9.84066718120015,0.4271613661899246,26.971068837426245,4.6534773548184925
2015-07-01,9.84466164331584,0.437803216020109,26.97500593020621,4.574145375678811
2015-10-01,9.846504735042945,0.41666877861548957,26.980780156379062,4.555094343211636
2016-01-01,9.852283201561416,0.35809393669214645,26.98440058734511,4.509132880324692
2016-04-01,9.85548929722409,0.360746643308786,26.98999188963071,4.544534507404032
2016-07-01,9.862558156415194,0.2718575221048095,26.993709697112006,4.630505532914142
2016-10-01,9.868085841701404,0.21640087044681727,27.000063449748772,4.654523833686215
2017-01-01,9.87294292903244,0.21503073120365931,27.008455411022172,4.702563414915434
